	Date	Time	Position	X[mV]	Y[mV]	Z[mV]
0	08/02/2019	08:57:45	nan	-483.581015	-15564.63721	511.903564
1	08/02/2019	08:57:55	nan	-483.611728	-15564.73111	511.88102
2	08/02/2019	08:58:05	nan	-483.643847	-15564.74307	511.893005
3	08/02/2019	08:58:15	nan	-483.651299	-15564.73933	511.882406
4	08/02/2019	08:58:25	nan	-483.538663	-15564.59187	511.970381
5	08/02/2019	08:58:35	nan	-483.563896	-15564.62097	511.932895
6	08/02/2019	08:58:45	nan	-483.538513	-15564.51725	511.941182
7	08/02/2019	08:58:55	nan	-483.544634	-15564.53831	511.93517
8	08/02/2019	08:59:05	nan	-483.628357	-15564.67952	511.890623
9	08/02/2019	08:59:15	nan	-483.701503	-15564.51172	511.873659
10	08/02/2019	08:59:25	nan	-483.716309	-15564.49404	511.888718
11	08/02/2019	08:59:35	nan	-483.73632	-15564.63454	511.888779
12	08/02/2019	08:59:45	nan	-483.760727	-15564.60526	511.860892
13	08/02/2019	08:59:55	nan	-483.655266	-15564.52725	511.894352
14	08/02/2019	09:00:05	nan	-483.616059	-15564.44763	511.915584
15	08/02/2019	09:00:15	nan	-483.688165	-15564.46137	511.89398
16	08/02/2019	09:00:25	nan	-483.745676	-15564.4678	511.85482
17	08/02/2019	09:00:35	nan	-483.865092	-15564.63704	511.808354
18	08/02/2019	09:00:45	nan	-483.870868	-15564.50725	511.815326
19	08/02/2019	09:00:55	nan	-483.872387	-15564.50761	511.835906
20	08/02/2019	09:01:05	nan	-483.895195	-15564.40889	511.799051
21	08/02/2019	09:01:15	nan	-483.816514	-15564.34177	511.844684
22	08/02/2019	09:01:25	nan	-483.885515	-15564.4778	511.829539
23	08/02/2019	09:01:35	nan	-483.891342	-15564.13165	511.844341
24	08/02/2019	09:01:45	nan	-483.959063	-15564.28696	511.809079
25	08/02/2019	09:01:55	nan	-483.922079	-15564.24733	511.819175
26	08/02/2019	09:02:05	nan	-483.875799	-15564.29178	511.824053
27	08/02/2019	09:02:15	nan	-483.851833	-15564.22591	511.826152
