	Date	Time	Position	X[mV]	Y[mV]	Z[mV]
0	11/02/2019	14:06:29	nan	92.768989	-15428.73216	559.439874
1	11/02/2019	14:06:39	nan	92.85786	-15428.71645	559.402853
2	11/02/2019	14:06:49	nan	92.901668	-15428.6895	559.381955
3	11/02/2019	14:06:59	nan	92.869742	-15428.59203	559.421317
4	11/02/2019	14:07:09	nan	92.909092	-15428.53133	559.405432
5	11/02/2019	14:07:19	nan	92.826621	-15428.25159	559.465539
6	11/02/2019	14:07:29	nan	92.858455	-15428.28819	559.462712
7	11/02/2019	14:07:39	nan	92.843105	-15428.18518	559.487879
8	11/02/2019	14:07:49	nan	92.816918	-15428.38744	559.496955
9	11/02/2019	14:07:59	nan	92.732373	-15428.18929	559.54604
10	11/02/2019	14:08:09	nan	92.753288	-15428.31764	559.508577
11	11/02/2019	14:08:19	nan	92.774866	-15428.28926	559.514302
12	11/02/2019	14:08:29	nan	92.880183	-15428.11271	559.471972
13	11/02/2019	14:08:39	nan	92.958047	-15428.20411	559.452115
14	11/02/2019	14:08:49	nan	92.863246	-15428.29426	559.488364
15	11/02/2019	14:08:59	nan	92.736654	-15428.29212	559.539784
16	11/02/2019	14:09:09	nan	92.945177	-15428.38191	559.4777
17	11/02/2019	14:09:19	nan	92.9878	-15428.34424	559.465743
18	11/02/2019	14:09:29	nan	92.976624	-15428.30908	559.467549
19	11/02/2019	14:09:39	nan	92.984919	-15428.27819	559.462667
20	11/02/2019	14:09:49	nan	92.960243	-15428.13966	559.47419
21	11/02/2019	14:09:59	nan	93.027893	-15428.05433	559.474865
22	11/02/2019	14:10:09	nan	93.076199	-15428.14091	559.428604
23	11/02/2019	14:10:19	nan	93.071526	-15427.95918	559.459829
24	11/02/2019	14:10:29	nan	93.030631	-15427.92455	559.476996
25	11/02/2019	14:10:39	nan	93.091803	-15428.12609	559.461295
26	11/02/2019	14:10:49	nan	93.006483	-15428.09735	559.48234
27	11/02/2019	14:10:59	nan	92.915288	-15428.01202	559.509479
28	11/02/2019	14:11:09	nan	93.083118	-15427.96043	559.443864
29	11/02/2019	14:11:19	nan	93.047963	-15427.98774	559.482883
30	11/02/2019	14:11:30	nan	93.062824	-15428.02791	559.492727
31	11/02/2019	14:11:40	nan	93.108622	-15428.0247	559.461547
32	11/02/2019	14:11:50	nan	93.153775	-15427.97328	559.449735
33	11/02/2019	14:12:00	nan	93.125452	-15428.15894	559.471
34	11/02/2019	14:12:10	nan	93.16252	-15427.97757	559.451665
35	11/02/2019	14:12:20	nan	93.160839	-15428.00577	559.466944
36	11/02/2019	14:12:30	nan	93.130619	-15428.01381	559.478979
37	11/02/2019	14:12:40	nan	93.15761	-15428.02255	559.473573
38	11/02/2019	14:12:50	nan	93.164941	-15428.1086	559.455132
39	11/02/2019	14:13:00	nan	93.157511	-15427.98239	559.48066
40	11/02/2019	14:13:10	nan	93.170838	-15428.18697	559.436926
41	11/02/2019	14:13:20	nan	93.203373	-15428.08254	559.463024
42	11/02/2019	14:13:30	nan	93.242159	-15428.04076	559.438408
43	11/02/2019	14:13:40	nan	93.221071	-15427.87153	559.430788
44	11/02/2019	14:13:50	nan	93.130876	-15427.81672	559.498392
45	11/02/2019	14:14:00	nan	93.179107	-15427.9756	559.484525
46	11/02/2019	14:14:10	nan	93.161655	-15427.91919	559.505673
47	11/02/2019	14:14:20	nan	93.17768	-15427.98756	559.50989
48	11/02/2019	14:14:30	nan	93.183808	-15428.03612	559.477113
49	11/02/2019	14:14:40	nan	93.246337	-15428.01345	559.459109
50	11/02/2019	14:14:50	nan	93.177811	-15428.01166	559.47731
51	11/02/2019	14:15:00	nan	93.215146	-15428.2125	559.449053
52	11/02/2019	14:15:10	nan	93.294613	-15428.13377	559.407602
53	11/02/2019	14:15:20	nan	93.286612	-15427.84564	559.431115
54	11/02/2019	14:15:30	nan	93.238528	-15427.9474	559.459927
55	11/02/2019	14:15:40	nan	93.136637	-15427.83565	559.522308
56	11/02/2019	14:15:50	nan	93.216721	-15427.82547	559.49385
57	11/02/2019	14:16:00	nan	93.224951	-15427.89331	559.499434
58	11/02/2019	14:16:10	nan	93.265608	-15427.98203	559.453128
59	11/02/2019	14:16:20	nan	93.34921	-15427.9333	559.434303
60	11/02/2019	14:16:30	nan	93.409707	-15428.03934	559.41082
61	11/02/2019	14:16:40	nan	93.421965	-15428.01327	559.436058
62	11/02/2019	14:16:50	nan	93.327153	-15427.83672	559.466019
